Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.558,0
0,0.00211800302571861,0.00257186081694402,0,0.558,-4.5385779122540963e-4
2000,0.0530257186081694,0.0534795763993949,NA,0.558,-4.538577912254968e-4
4000,0.129878971255673,0.106732223903177,NA,0.558,0.023146747352495986
6000,0.203403933434191,0.161573373676248,NA,0.558,0.041830559757943
8000,0.279878971255673,0.216490166414523,NA,0.558,0.06338880484115
10000,0.361800302571861,0.269894099848714,10,0.558,0.09190620272314703
12000,0.437291981845688,0.327307110438729,NA,0.558,0.109984871406959
14000,0.485779122541604,0.38517397881997,NA,0.558,0.10060514372163398
16000,0.520423600605144,0.438502269288956,NA,0.558,0.081921331316188
18000,0.564145234493192,0.490922844175492,NA,0.558,0.0732223903177
20000,0.60196671709531,0.540998487140696,20,0.558,0.06096822995461404
22000,0.639485627836611,0.580030257186082,NA,0.558,0.05945537065052897
24000,0.681467473524962,0.622390317700454,NA,0.558,0.0590771558245079
26000,0.730257186081694,0.659228441754917,NA,0.558,0.07102874432677697
28000,0.772541603630862,0.695990922844176,NA,0.558,0.07655068078668603
30000,0.80642965204236,0.730635400907716,30,0.558,0.075794251134644
32000,0.831391830559758,0.761800302571861,NA,0.558,0.06959152798789692
34000,0.85499243570348,0.790090771558245,NA,0.558,0.06490166414523502
36000,0.881089258698941,0.817927382753404,NA,0.558,0.0631618759455369
38000,0.903025718608169,0.843267776096823,NA,0.558,0.05975794251134603
40000,0.91732223903177,0.864750378214826,NA,0.558,0.05257186081694398
42000,0.927231467473525,0.885022692889561,NA,0.558,0.04220877458396399
44000,0.936762481089259,0.903782148260212,NA,0.558,0.032980332829047
46000,0.945990922844176,0.920272314674735,NA,0.558,0.025718608169440937
48000,0.952269288956127,0.936006051437216,NA,0.558,0.0162632375189109
50000,0.958698940998487,0.947881996974281,NA,0.558,0.010816944024205966
52000,0.963540090771558,0.958547655068079,NA,0.558,0.004992435703478959
54000,0.968532526475038,0.967170953101362,NA,0.558,0.0013615733736759283
56000,0.972768532526475,0.975416036308623,NA,0.558,-0.002647503782147953
58000,0.978063540090772,0.981164901664145,NA,0.558,-0.0031013615733730404
60000,0.983055975794251,0.986459909228442,NA,0.558,-0.0034039334341909866
62000,0.990695915279879,0.990393343419062,NA,0.558,3.02571860816947e-4
64000,0.996596066565809,0.993419062027232,NA,0.558,0.003177004538577055
66000,0.996747352496218,0.995688350983359,NA,0.558,0.0010590015128590924
68000,0.998865355521936,0.997276853252647,NA,0.558,0.0015885022692889716
70000,1,0.998638426626324,NA,0.558,0.0013615733736760394
72000,1,0.999394856278366,NA,0.558,6.05143721634005e-4
74000,1,1,NA,0.558,0
76000,1,1,NA,0.558,0
78000,1,1,NA,0.558,0
80000,1,1,NA,0.558,0
82000,1,1,NA,0.558,0
84000,1,1,NA,0.558,0
86000,1,1,NA,0.558,0
88000,1,1,NA,0.558,0
90000,1,1,NA,0.558,0
92000,1,1,NA,0.558,0
94000,1,1,NA,0.558,0
96000,1,1,NA,0.558,0
98000,1,1,NA,0.558,0
100000,1,1,NA,0.558,0
102000,1,1,NA,0.558,0
104000,1,1,NA,0.558,0
106000,1,1,NA,0.558,0
108000,1,1,NA,0.558,0
110000,1,1,NA,0.558,0
112000,1,1,NA,0.558,0
114000,1,1,NA,0.558,0
116000,1,1,NA,0.558,0
118000,1,1,NA,0.558,0
120000,1,1,NA,0.558,0
122000,1,1,NA,0.558,0
124000,1,1,NA,0.558,0
126000,1,1,NA,0.558,0
128000,1,1,NA,0.558,0
130000,1,1,NA,0.558,0
132000,1,1,NA,0.558,0
134000,1,1,NA,0.558,0
136000,1,1,NA,0.558,0
138000,1,1,NA,0.558,0
140000,1,1,NA,0.558,0
142000,1,1,NA,0.558,0
144000,1,1,NA,0.558,0
146000,1,1,NA,0.558,0
148000,1,1,NA,0.558,0
150000,1,1,NA,0.558,0
152000,1,1,NA,0.558,0
154000,1,1,NA,0.558,0
156000,1,1,NA,0.558,0
158000,1,1,NA,0.558,0
160000,1,1,NA,0.558,0
162000,1,1,NA,0.558,0
164000,1,1,NA,0.558,0
166000,1,1,NA,0.558,0
168000,1,1,NA,0.558,0
170000,1,1,NA,0.558,0
172000,1,1,NA,0.558,0
174000,1,1,NA,0.558,0
176000,1,1,NA,0.558,0
178000,1,1,NA,0.558,0
180000,1,1,NA,0.558,0
182000,1,1,NA,0.558,0
184000,1,1,NA,0.558,0
186000,1,1,NA,0.558,0
188000,1,1,NA,0.558,0
190000,1,1,NA,0.558,0
192000,1,1,NA,0.558,0
194000,1,1,NA,0.558,0
196000,1,1,NA,0.558,0
198000,1,1,NA,0.558,0
200000,1,1,NA,0.558,0
202000,1,1,NA,0.558,0
204000,1,1,NA,0.558,0
206000,1,1,NA,0.558,0
208000,1,1,NA,0.558,0
210000,1,1,NA,0.558,0
212000,1,1,NA,0.558,0
214000,1,1,NA,0.558,0
216000,1,1,NA,0.558,0
218000,1,1,NA,0.558,0
220000,1,1,NA,0.558,0
222000,1,1,NA,0.558,0
224000,1,1,NA,0.558,0
226000,1,1,NA,0.558,0
228000,1,1,NA,0.558,0
230000,1,1,NA,0.558,0
232000,1,1,NA,0.558,0
234000,1,1,NA,0.558,0
236000,1,1,NA,0.558,0
238000,1,1,NA,0.558,0
240000,1,1,NA,0.558,0
242000,1,1,NA,0.558,0
244000,1,1,NA,0.558,0
246000,1,1,NA,0.558,0
248000,1,1,NA,0.558,0
250000,1,1,NA,0.558,0
252000,1,1,NA,0.558,0
254000,1,1,NA,0.558,0
256000,1,1,NA,0.558,0
258000,1,1,NA,0.558,0
260000,1,1,NA,0.558,0
262000,1,1,NA,0.558,0
264000,1,1,NA,0.558,0
266000,1,1,NA,0.558,0
268000,1,1,NA,0.558,0
270000,1,1,NA,0.558,0
272000,1,1,NA,0.558,0
274000,1,1,NA,0.558,0
276000,1,1,NA,0.558,0
278000,1,1,NA,0.558,0
280000,1,1,NA,0.558,0
282000,1,1,NA,0.558,0
284000,1,1,NA,0.558,0
286000,1,1,NA,0.558,0
288000,1,1,NA,0.558,0
290000,1,1,NA,0.558,0
292000,1,1,NA,0.558,0
