Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.719,0
0,0.114372163388805,0.024357034795764,0,0.719,0.090015128593041
2000,0.320953101361573,0.105370650529501,NA,0.719,0.215582450832072
4000,0.414750378214826,0.173676248108926,NA,0.719,0.2410741301059
6000,0.517019667170953,0.237745839636914,NA,0.719,0.27927382753403907
8000,0.588426626323752,0.296974281391831,NA,0.719,0.29145234493192096
10000,0.652344931921331,0.350832072617247,10,0.719,0.301512859304084
12000,0.715582450832073,0.400756429652042,NA,0.719,0.31482602118003095
14000,0.755975794251135,0.442208774583964,NA,0.719,0.313767019667171
16000,0.788804841149773,0.486232980332829,NA,0.719,0.302571860816944
18000,0.83767019667170906,0.524659606656581,NA,0.719,0.3130105900151281
20000,0.865809379727685,0.558169440242058,20,0.719,0.30763993948562707
22000,0.888426626323752,0.590242057488654,NA,0.719,0.29818456883509803
24000,0.905446293494705,0.620423600605144,NA,0.719,0.28502269288956095
26000,0.916641452344932,0.645083207261725,NA,0.719,0.27155824508320703
28000,0.92375189107413,0.671709531013616,NA,0.719,0.25204236006051406
30000,0.931845688350983,0.692511346444781,30,0.719,0.23933434190620206
32000,0.935703479576399,0.716263237518911,NA,0.719,0.21944024205748802
34000,0.940847201210287,0.738350983358548,NA,0.719,0.202496217851739
36000,0.947579425113464,0.757337367624811,NA,0.719,0.19024205748865308
38000,0.95446293494705,0.773827534039334,NA,0.719,0.18063540090771601
40000,0.95862329803328294,0.789258698940999,NA,0.719,0.16936459909228396
42000,0.963615733736762,0.806807866868381,NA,0.719,0.156807866868381
44000,0.973524962178517,0.821482602118003,NA,0.719,0.15204236006051408
46000,0.981694402420575,0.83517397881997,NA,0.719,0.14652042360060502
48000,0.98320726172466,0.849546142208775,NA,0.719,0.133661119515885
50000,0.986308623298033,0.861724659606657,NA,0.719,0.12458396369137603
52000,0.986913767019667,0.871104387291982,NA,0.719,0.11580937972768501
54000,0.988502269288956,0.880862329803328,NA,0.719,0.107639939485628
56000,0.988653555219365,0.891830559757943,NA,0.719,0.09682299546142203
58000,0.989712556732224,0.90196671709531,NA,0.719,0.08774583963691407
60000,0.989939485627837,0.909833585476551,NA,0.719,0.08010590015128594
62000,0.990393343419062,0.917397881996974,NA,0.719,0.07299546142208801
64000,0.990771558245083,0.924735249621785,NA,0.719,0.06603630862329801
66000,0.990847201210287,0.929727685325265,NA,0.719,0.06111951588502207
68000,0.991376701966717,0.936081694402421,NA,0.719,0.05529500756429606
70000,0.992360060514372,0.941830559757942,NA,0.719,0.050529500756429924
72000,0.992511346444781,0.94750378214826,NA,0.719,0.045007564296520974
74000,0.992889561270802,0.952269288956127,NA,0.719,0.04062027231467502
76000,0.995083207261725,0.957186081694402,NA,0.719,0.03789712556732294
78000,0.995310136157337,0.962102874432678,NA,0.719,0.03320726172465904
80000,0.99553706505295,0.965733736762481,NA,0.719,0.029803328290469056
82000,0.995612708018154,0.96981845688351,NA,0.719,0.025794251134644064
84000,0.995612708018154,0.972465960665658,NA,0.719,0.023146747352496
86000,0.995990922844175,0.975113464447806,NA,0.719,0.02087745839636901
88000,0.995990922844175,0.977760968229955,NA,0.719,0.018229954614220056
90000,0.995990922844175,0.979803328290469,NA,0.719,0.016187594553705997
92000,0.996217851739788,0.981316187594554,NA,0.719,0.014901664145234084
94000,0.996596066565809,0.983434190620272,NA,0.719,0.013161875945536972
96000,0.999924357034796,0.985854765506808,NA,0.719,0.014069591527988035
98000,1,0.988502269288956,NA,0.719,0.011497730711043985
100000,1,0.990695915279879,NA,0.719,0.009304084720121009
102000,1,0.992284417549168,NA,0.719,0.007715582450832037
104000,1,0.993797276853253,NA,0.719,0.006202723146746969
106000,1,0.995234493192133,NA,0.719,0.004765506807867026
108000,1,0.996293494704992,NA,0.719,0.0037065052950080446
110000,1,0.996974281391831,NA,0.719,0.0030257186081690257
112000,1,0.997655068078669,NA,0.719,0.002344931921331006
114000,1,0.998260211800303,NA,0.719,0.001739788199697001
116000,1,0.998789712556732,NA,0.719,0.00121028744326801
118000,1,0.999092284417549,NA,0.719,9.07715582450952e-4
120000,1,0.999394856278366,NA,0.719,6.05143721634005e-4
122000,1,1,NA,0.719,0
124000,1,1,NA,0.719,0
126000,1,1,NA,0.719,0
128000,1,1,NA,0.719,0
130000,1,1,NA,0.719,0
132000,1,1,NA,0.719,0
134000,1,1,NA,0.719,0
136000,1,1,NA,0.719,0
138000,1,1,NA,0.719,0
140000,1,1,NA,0.719,0
142000,1,1,NA,0.719,0
144000,1,1,NA,0.719,0
146000,1,1,NA,0.719,0
148000,1,1,NA,0.719,0
150000,1,1,NA,0.719,0
152000,1,1,NA,0.719,0
154000,1,1,NA,0.719,0
156000,1,1,NA,0.719,0
158000,1,1,NA,0.719,0
160000,1,1,NA,0.719,0
162000,1,1,NA,0.719,0
164000,1,1,NA,0.719,0
166000,1,1,NA,0.719,0
168000,1,1,NA,0.719,0
170000,1,1,NA,0.719,0
172000,1,1,NA,0.719,0
174000,1,1,NA,0.719,0
176000,1,1,NA,0.719,0
178000,1,1,NA,0.719,0
180000,1,1,NA,0.719,0
182000,1,1,NA,0.719,0
184000,1,1,NA,0.719,0
186000,1,1,NA,0.719,0
188000,1,1,NA,0.719,0
190000,1,1,NA,0.719,0
192000,1,1,NA,0.719,0
