Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.488,0
0,0.00143721633888048,0.00219364599092284,0,0.488,-7.564296520423601e-4
2000,0.0353252647503782,0.0372163388804841,NA,0.488,-0.0018910741301058978
4000,0.054160363086233,0.0776853252647504,NA,0.488,-0.0235249621785174
6000,0.0717095310136157,0.117246596066566,NA,0.488,-0.0455370650529503
8000,0.0962178517397882,0.159077155824508,NA,0.488,-0.06285930408471979
10000,0.127307110438729,0.201059001512859,10,0.488,-0.07375189107413
12000,0.160438729198185,0.245990922844175,NA,0.488,-0.08555219364599001
14000,0.20052950075643,0.290393343419062,NA,0.488,-0.08986384266263198
16000,0.250605143721634,0.33411497730711,NA,0.488,-0.08350983358547598
18000,0.331164901664145,0.379500756429652,NA,0.488,-0.048335854765507
20000,0.404614220877458,0.4232223903177,20,0.488,-0.018608169440241962
22000,0.466565809379728,0.466565809379728,NA,0.488,0
24000,0.506656580937973,0.511346444780635,NA,0.488,-0.004689863842662012
26000,0.538124054462935,0.552269288956127,NA,0.488,-0.01414523449319205
28000,0.581240544629349,0.592133131618759,NA,0.488,-0.01089258698940998
30000,0.645461422087746,0.629652042360061,30,0.488,0.015809379727685036
32000,0.697881996974281,0.667473524962178,NA,0.488,0.03040847201210295
34000,0.746369137670197,0.703025718608169,NA,0.488,0.04334341906202799
36000,0.782072617246596,0.737821482602118,NA,0.488,0.04425113464447805
38000,0.805295007564297,0.767246596066566,NA,0.488,0.03804841149773097
40000,0.828139183055976,0.794175491679274,NA,0.488,0.033963691376701965
42000,0.85143721633888,0.818683812405446,NA,0.488,0.032753403933434067
44000,0.873524962178517,0.84409984871407,NA,0.488,0.029425113464447095
46000,0.894553706505295,0.868305597579425,NA,0.488,0.02624810892586993
48000,0.929803328290469,0.887594553706505,NA,0.488,0.04220877458396399
50000,0.949546142208775,0.905748865355522,NA,0.488,0.043797276853252964
52000,0.961875945537065,0.922844175491679,NA,0.488,0.03903177004538605
54000,0.972163388804841,0.935854765506808,NA,0.488,0.03630862329803297
56000,0.978895612708018,0.947352496217852,NA,0.488,0.031543116490165946
58000,0.982450832072617,0.95839636913767,NA,0.488,0.024054462934946952
60000,0.987367624810893,0.966868381240545,NA,0.488,0.020499243570348047
62000,0.991679273827534,0.974735249621785,NA,0.488,0.01694402420574892
64000,0.99334341906202706,0.981845688350983,NA,0.488,0.011497730711044096
66000,0.99357034795764,0.988275340393343,NA,0.488,0.005295007564297016
68000,0.99500756429652,0.992511346444781,NA,0.488,0.0024962178517390354
70000,0.996142208774584,0.99553706505295,NA,0.488,6.05143721634005e-4
72000,0.998865355521936,0.997276853252647,NA,0.488,0.0015885022692889716
74000,1,0.998638426626324,NA,0.488,0.0013615733736760394
76000,1,0.998940998487141,NA,0.488,0.0010590015128589814
78000,1,0.999243570347958,NA,0.488,7.564296520420344e-4
