Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.59,0
0,0.00310136157337368,0.00181543116490166,0,0.59,0.0012859304084720201
2000,0.0751891074130106,0.0468986384266263,NA,0.59,0.0282904689863843
4000,0.144478063540091,0.0931921331316188,NA,0.59,0.051285930408472194
6000,0.200983358547655,0.143419062027231,NA,0.59,0.057564296520423996
8000,0.27428139183056,0.195915279878971,NA,0.59,0.07836611195158899
10000,0.342208774583964,0.252193645990923,10,0.59,0.090015128593041
12000,0.425945537065053,0.313086232980333,NA,0.59,0.11285930408472
14000,0.48910741301059,0.367473524962178,NA,0.59,0.12163388804841202
16000,0.543721633888048,0.426550680786687,NA,0.59,0.11717095310136094
18000,0.61036308623298,0.485325264750378,NA,0.59,0.12503782148260195
20000,0.686913767019667,0.542662632375189,20,0.59,0.14425113464447803
22000,0.733888048411498,0.596142208774584,NA,0.59,0.137745839636914
24000,0.775340393343419,0.649848714069592,NA,0.59,0.12549167927382698
26000,0.816111951588502,0.69803328290469,NA,0.59,0.118078668683812
28000,0.843872919818457,0.749546142208775,NA,0.59,0.094326777609682
30000,0.879198184568835,0.791452344931921,30,0.59,0.08774583963691407
32000,0.909379727685325,0.830559757942511,NA,0.59,0.07881996974281402
34000,0.939183055975794,0.865658093797277,NA,0.59,0.073524962178517
36000,0.960438729198185,0.895612708018154,NA,0.59,0.064826021180031
38000,0.971180030257186,0.918154311649017,NA,0.59,0.05302571860816907
40000,0.981391830559758,0.938502269288956,NA,0.59,0.04288956127080201
42000,0.991452344931921,0.953479576399395,NA,0.59,0.03797276853252607
44000,0.994251134644478,0.966565809379728,NA,0.59,0.027685325264749983
46000,0.997957639939486,0.97624810892587,NA,0.59,0.021709531013616057
48000,0.999394856278366,0.984417549167927,NA,0.59,0.014977307110438987
50000,0.999848714069592,0.989863842662632,NA,0.59,0.009984871406959916
52000,0.999848714069592,0.993494704992436,NA,0.59,0.006354009077155998
54000,0.999848714069592,0.995612708018154,NA,0.59,0.004236006051437924
56000,0.999848714069592,0.997201210287443,NA,0.59,0.002647503782148952
58000,0.999924357034796,0.998335854765507,NA,0.59,0.0015885022692889716
60000,0.999924357034796,0.999243570347958,NA,0.59,6.807866868380197e-4
62000,1,0.999773071104387,NA,0.59,2.269288956130433e-4
64000,1,0.999924357034796,NA,0.59,7.56429652040147e-5
66000,1,1,NA,0.59,0
68000,1,1,NA,0.59,0
70000,1,1,NA,0.59,0
72000,1,1,NA,0.59,0
74000,1,1,NA,0.59,0
76000,1,1,NA,0.59,0
78000,1,1,NA,0.59,0
80000,1,1,NA,0.59,0
82000,1,1,NA,0.59,0
84000,1,1,NA,0.59,0
86000,1,1,NA,0.59,0
88000,1,1,NA,0.59,0
90000,1,1,NA,0.59,0
92000,1,1,NA,0.59,0
94000,1,1,NA,0.59,0
