Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.539,0
0,0.0111951588502269,0.00915279878971256,0,0.539,0.00204236006051434
2000,0.273676248108926,0.22375189107413,NA,0.539,0.049924357034796
4000,0.542813918305598,0.472617246596067,NA,0.539,0.07019667170953098
6000,0.73910741301059,0.701134644478064,NA,0.539,0.03797276853252607
8000,0.881467473524962,0.861119515885023,NA,0.539,0.02034795763993902
10000,0.957564296520424,0.94357034795764,10,0.539,0.013993948562783909
12000,0.987216338880484,0.981391830559758,NA,0.539,0.005824508320726007
14000,0.995763993948563,0.994704992435703,NA,0.539,0.0010590015128599806
16000,1,0.998335854765507,NA,0.539,0.0016641452344929863
18000,1,0.999243570347958,NA,0.539,7.564296520420344e-4
20000,1,1,20,0.539,0
22000,1,1,NA,0.539,0
24000,1,1,NA,0.539,0
26000,1,1,NA,0.539,0
28000,1,1,NA,0.539,0
30000,1,1,30,0.539,0
32000,1,1,NA,0.539,0
34000,1,1,NA,0.539,0
36000,1,1,NA,0.539,0
38000,1,1,NA,0.539,0
40000,1,1,NA,0.539,0
42000,1,1,NA,0.539,0
44000,1,1,NA,0.539,0
46000,1,1,NA,0.539,0
48000,1,1,NA,0.539,0
50000,1,1,NA,0.539,0
52000,1,1,NA,0.539,0
54000,1,1,NA,0.539,0
56000,1,1,NA,0.539,0
58000,1,1,NA,0.539,0
60000,1,1,NA,0.539,0
62000,1,1,NA,0.539,0
64000,1,1,NA,0.539,0
66000,1,1,NA,0.539,0
68000,1,1,NA,0.539,0
70000,1,1,NA,0.539,0
72000,1,1,NA,0.539,0
74000,1,1,NA,0.539,0
76000,1,1,NA,0.539,0
78000,1,1,NA,0.539,0
80000,1,1,NA,0.539,0
82000,1,1,NA,0.539,0
84000,1,1,NA,0.539,0
86000,1,1,NA,0.539,0
88000,1,1,NA,0.539,0
90000,1,1,NA,0.539,0
92000,1,1,NA,0.539,0
94000,1,1,NA,0.539,0
96000,1,1,NA,0.539,0
98000,1,1,NA,0.539,0
100000,1,1,NA,0.539,0
102000,1,1,NA,0.539,0
104000,1,1,NA,0.539,0
106000,1,1,NA,0.539,0
108000,1,1,NA,0.539,0
110000,1,1,NA,0.539,0
112000,1,1,NA,0.539,0
114000,1,1,NA,0.539,0
116000,1,1,NA,0.539,0
118000,1,1,NA,0.539,0
120000,1,1,NA,0.539,0
122000,1,1,NA,0.539,0
124000,1,1,NA,0.539,0
126000,1,1,NA,0.539,0
128000,1,1,NA,0.539,0
130000,1,1,NA,0.539,0
132000,1,1,NA,0.539,0
134000,1,1,NA,0.539,0
136000,1,1,NA,0.539,0
138000,1,1,NA,0.539,0
140000,1,1,NA,0.539,0
142000,1,1,NA,0.539,0
144000,1,1,NA,0.539,0
146000,1,1,NA,0.539,0
148000,1,1,NA,0.539,0
150000,1,1,NA,0.539,0
152000,1,1,NA,0.539,0
154000,1,1,NA,0.539,0
156000,1,1,NA,0.539,0
158000,1,1,NA,0.539,0
160000,1,1,NA,0.539,0
162000,1,1,NA,0.539,0
164000,1,1,NA,0.539,0
166000,1,1,NA,0.539,0
168000,1,1,NA,0.539,0
170000,1,1,NA,0.539,0
172000,1,1,NA,0.539,0
174000,1,1,NA,0.539,0
176000,1,1,NA,0.539,0
178000,1,1,NA,0.539,0
180000,1,1,NA,0.539,0
182000,1,1,NA,0.539,0
184000,1,1,NA,0.539,0
186000,1,1,NA,0.539,0
188000,1,1,NA,0.539,0
190000,1,1,NA,0.539,0
192000,1,1,NA,0.539,0
194000,1,1,NA,0.539,0
196000,1,1,NA,0.539,0
198000,1,1,NA,0.539,0
200000,1,1,NA,0.539,0
202000,1,1,NA,0.539,0
204000,1,1,NA,0.539,0
206000,1,1,NA,0.539,0
208000,1,1,NA,0.539,0
210000,1,1,NA,0.539,0
212000,1,1,NA,0.539,0
214000,1,1,NA,0.539,0
216000,1,1,NA,0.539,0
218000,1,1,NA,0.539,0
220000,1,1,NA,0.539,0
222000,1,1,NA,0.539,0
224000,1,1,NA,0.539,0
226000,1,1,NA,0.539,0
228000,1,1,NA,0.539,0
230000,1,1,NA,0.539,0
232000,1,1,NA,0.539,0
234000,1,1,NA,0.539,0
236000,1,1,NA,0.539,0
238000,1,1,NA,0.539,0
240000,1,1,NA,0.539,0
242000,1,1,NA,0.539,0
244000,1,1,NA,0.539,0
246000,1,1,NA,0.539,0
248000,1,1,NA,0.539,0
250000,1,1,NA,0.539,0
252000,1,1,NA,0.539,0
254000,1,1,NA,0.539,0
256000,1,1,NA,0.539,0
258000,1,1,NA,0.539,0
260000,1,1,NA,0.539,0
262000,1,1,NA,0.539,0
264000,1,1,NA,0.539,0
266000,1,1,NA,0.539,0
268000,1,1,NA,0.539,0
270000,1,1,NA,0.539,0
272000,1,1,NA,0.539,0
274000,1,1,NA,0.539,0
276000,1,1,NA,0.539,0
278000,1,1,NA,0.539,0
280000,1,1,NA,0.539,0
282000,1,1,NA,0.539,0
284000,1,1,NA,0.539,0
286000,1,1,NA,0.539,0
288000,1,1,NA,0.539,0
290000,1,1,NA,0.539,0
292000,1,1,NA,0.539,0
294000,1,1,NA,0.539,0
296000,1,1,NA,0.539,0
298000,1,1,NA,0.539,0
300000,1,1,NA,0.539,0
302000,1,1,NA,0.539,0
304000,1,1,NA,0.539,0
306000,1,1,NA,0.539,0
308000,1,1,NA,0.539,0
310000,1,1,NA,0.539,0
312000,1,1,NA,0.539,0
314000,1,1,NA,0.539,0
316000,1,1,NA,0.539,0
318000,1,1,NA,0.539,0
320000,1,1,NA,0.539,0
322000,1,1,NA,0.539,0
324000,1,1,NA,0.539,0
326000,1,1,NA,0.539,0
328000,1,1,NA,0.539,0
330000,1,1,NA,0.539,0
332000,1,1,NA,0.539,0
334000,1,1,NA,0.539,0
336000,1,1,NA,0.539,0
338000,1,1,NA,0.539,0
340000,1,1,NA,0.539,0
342000,1,1,NA,0.539,0
344000,1,1,NA,0.539,0
346000,1,1,NA,0.539,0
348000,1,1,NA,0.539,0
350000,1,1,NA,0.539,0
352000,1,1,NA,0.539,0
354000,1,1,NA,0.539,0
356000,1,1,NA,0.539,0
358000,1,1,NA,0.539,0
360000,1,1,NA,0.539,0
362000,1,1,NA,0.539,0
364000,1,1,NA,0.539,0
366000,1,1,NA,0.539,0
368000,1,1,NA,0.539,0
370000,1,1,NA,0.539,0
372000,1,1,NA,0.539,0
374000,1,1,NA,0.539,0
376000,1,1,NA,0.539,0
378000,1,1,NA,0.539,0
380000,1,1,NA,0.539,0
382000,1,1,NA,0.539,0
384000,1,1,NA,0.539,0
386000,1,1,NA,0.539,0
388000,1,1,NA,0.539,0
390000,1,1,NA,0.539,0
392000,1,1,NA,0.539,0
394000,1,1,NA,0.539,0
396000,1,1,NA,0.539,0
398000,1,1,NA,0.539,0
400000,1,1,NA,0.539,0
402000,1,1,NA,0.539,0
404000,1,1,NA,0.539,0
406000,1,1,NA,0.539,0
408000,1,1,NA,0.539,0
410000,1,1,NA,0.539,0
412000,1,1,NA,0.539,0
414000,1,1,NA,0.539,0
416000,1,1,NA,0.539,0
418000,1,1,NA,0.539,0
420000,1,1,NA,0.539,0
422000,1,1,NA,0.539,0
424000,1,1,NA,0.539,0
426000,1,1,NA,0.539,0
428000,1,1,NA,0.539,0
430000,1,1,NA,0.539,0
432000,1,1,NA,0.539,0
434000,1,1,NA,0.539,0
436000,1,1,NA,0.539,0
438000,1,1,NA,0.539,0
440000,1,1,NA,0.539,0
442000,1,1,NA,0.539,0
444000,1,1,NA,0.539,0
446000,1,1,NA,0.539,0
448000,1,1,NA,0.539,0
450000,1,1,NA,0.539,0
452000,1,1,NA,0.539,0
454000,1,1,NA,0.539,0
456000,1,1,NA,0.539,0
458000,1,1,NA,0.539,0
460000,1,1,NA,0.539,0
462000,1,1,NA,0.539,0
464000,1,1,NA,0.539,0
466000,1,1,NA,0.539,0
468000,1,1,NA,0.539,0
470000,1,1,NA,0.539,0
472000,1,1,NA,0.539,0
474000,1,1,NA,0.539,0
476000,1,1,NA,0.539,0
478000,1,1,NA,0.539,0
480000,1,1,NA,0.539,0
482000,1,1,NA,0.539,0
484000,1,1,NA,0.539,0
486000,1,1,NA,0.539,0
488000,1,1,NA,0.539,0
490000,1,1,NA,0.539,0
492000,1,1,NA,0.539,0
494000,1,1,NA,0.539,0
496000,1,1,NA,0.539,0
498000,1,1,NA,0.539,0
500000,1,1,NA,0.539,0
502000,1,1,NA,0.539,0
504000,1,1,NA,0.539,0
506000,1,1,NA,0.539,0
508000,1,1,NA,0.539,0
510000,1,1,NA,0.539,0
512000,1,1,NA,0.539,0
514000,1,1,NA,0.539,0
516000,1,1,NA,0.539,0
518000,1,1,NA,0.539,0
520000,1,1,NA,0.539,0
522000,1,1,NA,0.539,0
524000,1,1,NA,0.539,0
526000,1,1,NA,0.539,0
528000,1,1,NA,0.539,0
530000,1,1,NA,0.539,0
532000,1,1,NA,0.539,0
534000,1,1,NA,0.539,0
536000,1,1,NA,0.539,0
538000,1,1,NA,0.539,0
540000,1,1,NA,0.539,0
542000,1,1,NA,0.539,0
544000,1,1,NA,0.539,0
546000,1,1,NA,0.539,0
548000,1,1,NA,0.539,0
550000,1,1,NA,0.539,0
552000,1,1,NA,0.539,0
554000,1,1,NA,0.539,0
