Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.583,0
0,0.017246596,0.01096823,0,0.583,0.006278365999999999
2000,0.312783661,0.223676248,NA,0.583,0.089107413
4000,0.59795764,0.46172466,NA,0.583,0.13623297999999995
6000,0.797806354,0.670877458,NA,0.583,0.126928896
8000,0.883434191,0.817246596,NA,0.583,0.06618759499999993
10000,0.922995461,0.898562784,10,0.583,0.024432676999999958
12000,0.95612708,0.941603631,NA,0.583,0.014523449000000022
14000,0.97397882,0.96785174,NA,0.583,0.0061270800000000625
16000,0.981618759,0.982299546,NA,0.583,-6.807870000000715e-4
18000,0.986384266,0.989485628,NA,0.583,-0.0031013619999999964
20000,0.990242057,0.994326778,20,0.583,-0.004084721000000013
22000,0.992586989,0.997881997,NA,0.583,-0.0052950080000000455
24000,0.995763994,0.999470499,NA,0.583,-0.0037065049999999156
26000,0.999167927,1,NA,0.583,-8.320729999999887e-4
28000,1,1,NA,0.583,0
30000,1,1,30,0.583,0
32000,1,1,NA,0.583,0
34000,1,1,NA,0.583,0
36000,1,1,NA,0.583,0
38000,1,1,NA,0.583,0
40000,1,1,NA,0.583,0
42000,1,1,NA,0.583,0
44000,1,1,NA,0.583,0
46000,1,1,NA,0.583,0
48000,1,1,NA,0.583,0
50000,1,1,NA,0.583,0
52000,1,1,NA,0.583,0
54000,1,1,NA,0.583,0
56000,1,1,NA,0.583,0
58000,1,1,NA,0.583,0
60000,1,1,NA,0.583,0
62000,1,1,NA,0.583,0
64000,1,1,NA,0.583,0
66000,1,1,NA,0.583,0
68000,1,1,NA,0.583,0
70000,1,1,NA,0.583,0
72000,1,1,NA,0.583,0
74000,1,1,NA,0.583,0
76000,1,1,NA,0.583,0
78000,1,1,NA,0.583,0
80000,1,1,NA,0.583,0
82000,1,1,NA,0.583,0
84000,1,1,NA,0.583,0
86000,1,1,NA,0.583,0
88000,1,1,NA,0.583,0
90000,1,1,NA,0.583,0
92000,1,1,NA,0.583,0
94000,1,1,NA,0.583,0
96000,1,1,NA,0.583,0
98000,1,1,NA,0.583,0
100000,1,1,NA,0.583,0
102000,1,1,NA,0.583,0
104000,1,1,NA,0.583,0
106000,1,1,NA,0.583,0
108000,1,1,NA,0.583,0
110000,1,1,NA,0.583,0
112000,1,1,NA,0.583,0
114000,1,1,NA,0.583,0
116000,1,1,NA,0.583,0
118000,1,1,NA,0.583,0
120000,1,1,NA,0.583,0
122000,1,1,NA,0.583,0
124000,1,1,NA,0.583,0
126000,1,1,NA,0.583,0
128000,1,1,NA,0.583,0
130000,1,1,NA,0.583,0
132000,1,1,NA,0.583,0
134000,1,1,NA,0.583,0
136000,1,1,NA,0.583,0
138000,1,1,NA,0.583,0
140000,1,1,NA,0.583,0
142000,1,1,NA,0.583,0
144000,1,1,NA,0.583,0
146000,1,1,NA,0.583,0
148000,1,1,NA,0.583,0
150000,1,1,NA,0.583,0
152000,1,1,NA,0.583,0
154000,1,1,NA,0.583,0
156000,1,1,NA,0.583,0
158000,1,1,NA,0.583,0
160000,1,1,NA,0.583,0
162000,1,1,NA,0.583,0
164000,1,1,NA,0.583,0
166000,1,1,NA,0.583,0
168000,1,1,NA,0.583,0
170000,1,1,NA,0.583,0
172000,1,1,NA,0.583,0
174000,1,1,NA,0.583,0
176000,1,1,NA,0.583,0
178000,1,1,NA,0.583,0
180000,1,1,NA,0.583,0
182000,1,1,NA,0.583,0
184000,1,1,NA,0.583,0
186000,1,1,NA,0.583,0
188000,1,1,NA,0.583,0
190000,1,1,NA,0.583,0
192000,1,1,NA,0.583,0
194000,1,1,NA,0.583,0
196000,1,1,NA,0.583,0
198000,1,1,NA,0.583,0
200000,1,1,NA,0.583,0
202000,1,1,NA,0.583,0
204000,1,1,NA,0.583,0
206000,1,1,NA,0.583,0
208000,1,1,NA,0.583,0
210000,1,1,NA,0.583,0
212000,1,1,NA,0.583,0
214000,1,1,NA,0.583,0
216000,1,1,NA,0.583,0
218000,1,1,NA,0.583,0
220000,1,1,NA,0.583,0
222000,1,1,NA,0.583,0
224000,1,1,NA,0.583,0
226000,1,1,NA,0.583,0
228000,1,1,NA,0.583,0
230000,1,1,NA,0.583,0
232000,1,1,NA,0.583,0
234000,1,1,NA,0.583,0
236000,1,1,NA,0.583,0
238000,1,1,NA,0.583,0
240000,1,1,NA,0.583,0
242000,1,1,NA,0.583,0
244000,1,1,NA,0.583,0
246000,1,1,NA,0.583,0
248000,1,1,NA,0.583,0
250000,1,1,NA,0.583,0
252000,1,1,NA,0.583,0
254000,1,1,NA,0.583,0
256000,1,1,NA,0.583,0
258000,1,1,NA,0.583,0
260000,1,1,NA,0.583,0
262000,1,1,NA,0.583,0
264000,1,1,NA,0.583,0
266000,1,1,NA,0.583,0
268000,1,1,NA,0.583,0
270000,1,1,NA,0.583,0
272000,1,1,NA,0.583,0
274000,1,1,NA,0.583,0
276000,1,1,NA,0.583,0
278000,1,1,NA,0.583,0
280000,1,1,NA,0.583,0
282000,1,1,NA,0.583,0
284000,1,1,NA,0.583,0
286000,1,1,NA,0.583,0
288000,1,1,NA,0.583,0
290000,1,1,NA,0.583,0
292000,1,1,NA,0.583,0
294000,1,1,NA,0.583,0
296000,1,1,NA,0.583,0
298000,1,1,NA,0.583,0
300000,1,1,NA,0.583,0
302000,1,1,NA,0.583,0
304000,1,1,NA,0.583,0
306000,1,1,NA,0.583,0
308000,1,1,NA,0.583,0
310000,1,1,NA,0.583,0
312000,1,1,NA,0.583,0
314000,1,1,NA,0.583,0
316000,1,1,NA,0.583,0
318000,1,1,NA,0.583,0
320000,1,1,NA,0.583,0
322000,1,1,NA,0.583,0
324000,1,1,NA,0.583,0
326000,1,1,NA,0.583,0
328000,1,1,NA,0.583,0
330000,1,1,NA,0.583,0
332000,1,1,NA,0.583,0
334000,1,1,NA,0.583,0
336000,1,1,NA,0.583,0
338000,1,1,NA,0.583,0
340000,1,1,NA,0.583,0
342000,1,1,NA,0.583,0
344000,1,1,NA,0.583,0
346000,1,1,NA,0.583,0
348000,1,1,NA,0.583,0
350000,1,1,NA,0.583,0
352000,1,1,NA,0.583,0
354000,1,1,NA,0.583,0
356000,1,1,NA,0.583,0
358000,1,1,NA,0.583,0
360000,1,1,NA,0.583,0
362000,1,1,NA,0.583,0
364000,1,1,NA,0.583,0
366000,1,1,NA,0.583,0
368000,1,1,NA,0.583,0
370000,1,1,NA,0.583,0
372000,1,1,NA,0.583,0
374000,1,1,NA,0.583,0
376000,1,1,NA,0.583,0
378000,1,1,NA,0.583,0
380000,1,1,NA,0.583,0
382000,1,1,NA,0.583,0
384000,1,1,NA,0.583,0
386000,1,1,NA,0.583,0
388000,1,1,NA,0.583,0
390000,1,1,NA,0.583,0
392000,1,1,NA,0.583,0
394000,1,1,NA,0.583,0
396000,1,1,NA,0.583,0
398000,1,1,NA,0.583,0
400000,1,1,NA,0.583,0
402000,1,1,NA,0.583,0
404000,1,1,NA,0.583,0
406000,1,1,NA,0.583,0
408000,1,1,NA,0.583,0
410000,1,1,NA,0.583,0
412000,1,1,NA,0.583,0
414000,1,1,NA,0.583,0
416000,1,1,NA,0.583,0
418000,1,1,NA,0.583,0
420000,1,1,NA,0.583,0
422000,1,1,NA,0.583,0
424000,1,1,NA,0.583,0
426000,1,1,NA,0.583,0
428000,1,1,NA,0.583,0
430000,1,1,NA,0.583,0
432000,1,1,NA,0.583,0
434000,1,1,NA,0.583,0
436000,1,1,NA,0.583,0
438000,1,1,NA,0.583,0
440000,1,1,NA,0.583,0
442000,1,1,NA,0.583,0
444000,1,1,NA,0.583,0
446000,1,1,NA,0.583,0
448000,1,1,NA,0.583,0
450000,1,1,NA,0.583,0
452000,1,1,NA,0.583,0
454000,1,1,NA,0.583,0
456000,1,1,NA,0.583,0
458000,1,1,NA,0.583,0
460000,1,1,NA,0.583,0
462000,1,1,NA,0.583,0
464000,1,1,NA,0.583,0
466000,1,1,NA,0.583,0
468000,1,1,NA,0.583,0
470000,1,1,NA,0.583,0
472000,1,1,NA,0.583,0
474000,1,1,NA,0.583,0
476000,1,1,NA,0.583,0
478000,1,1,NA,0.583,0
480000,1,1,NA,0.583,0
482000,1,1,NA,0.583,0
484000,1,1,NA,0.583,0
486000,1,1,NA,0.583,0
488000,1,1,NA,0.583,0
490000,1,1,NA,0.583,0
492000,1,1,NA,0.583,0
494000,1,1,NA,0.583,0
496000,1,1,NA,0.583,0
498000,1,1,NA,0.583,0
500000,1,1,NA,0.583,0
502000,1,1,NA,0.583,0
504000,1,1,NA,0.583,0
506000,1,1,NA,0.583,0
508000,1,1,NA,0.583,0
510000,1,1,NA,0.583,0
512000,1,1,NA,0.583,0
514000,1,1,NA,0.583,0
516000,1,1,NA,0.583,0
518000,1,1,NA,0.583,0
520000,1,1,NA,0.583,0
522000,1,1,NA,0.583,0
524000,1,1,NA,0.583,0
526000,1,1,NA,0.583,0
528000,1,1,NA,0.583,0
530000,1,1,NA,0.583,0
532000,1,1,NA,0.583,0
534000,1,1,NA,0.583,0
536000,1,1,NA,0.583,0
538000,1,1,NA,0.583,0
540000,1,1,NA,0.583,0
542000,1,1,NA,0.583,0
544000,1,1,NA,0.583,0
546000,1,1,NA,0.583,0
548000,1,1,NA,0.583,0
550000,1,1,NA,0.583,0
552000,1,1,NA,0.583,0
554000,1,1,NA,0.583,0
556000,1,1,NA,0.583,0
558000,1,1,NA,0.583,0
560000,1,1,NA,0.583,0
562000,1,1,NA,0.583,0
564000,1,1,NA,0.583,0
566000,1,1,NA,0.583,0
568000,1,1,NA,0.583,0
570000,1,1,NA,0.583,0
572000,1,1,NA,0.583,0
574000,1,1,NA,0.583,0
576000,1,1,NA,0.583,0
578000,1,1,NA,0.583,0
580000,1,1,NA,0.583,0
582000,1,1,NA,0.583,0
584000,1,1,NA,0.583,0
586000,1,1,NA,0.583,0
588000,1,1,NA,0.583,0
590000,1,1,NA,0.583,0
592000,1,1,NA,0.583,0
594000,1,1,NA,0.583,0
596000,1,1,NA,0.583,0
598000,1,1,NA,0.583,0
600000,1,1,NA,0.583,0
602000,1,1,NA,0.583,0
604000,1,1,NA,0.583,0
606000,1,1,NA,0.583,0
608000,1,1,NA,0.583,0
610000,1,1,NA,0.583,0
612000,1,1,NA,0.583,0
614000,1,1,NA,0.583,0
616000,1,1,NA,0.583,0
618000,1,1,NA,0.583,0
620000,1,1,NA,0.583,0
622000,1,1,NA,0.583,0
624000,1,1,NA,0.583,0
626000,1,1,NA,0.583,0
628000,1,1,NA,0.583,0
630000,1,1,NA,0.583,0
632000,1,1,NA,0.583,0
634000,1,1,NA,0.583,0
636000,1,1,NA,0.583,0
638000,1,1,NA,0.583,0
640000,1,1,NA,0.583,0
642000,1,1,NA,0.583,0
644000,1,1,NA,0.583,0
646000,1,1,NA,0.583,0
648000,1,1,NA,0.583,0
650000,1,1,NA,0.583,0
652000,1,1,NA,0.583,0
654000,1,1,NA,0.583,0
656000,1,1,NA,0.583,0
658000,1,1,NA,0.583,0
660000,1,1,NA,0.583,0
662000,1,1,NA,0.583,0
664000,1,1,NA,0.583,0
666000,1,1,NA,0.583,0
668000,1,1,NA,0.583,0
670000,1,1,NA,0.583,0
672000,1,1,NA,0.583,0
674000,1,1,NA,0.583,0
676000,1,1,NA,0.583,0
678000,1,1,NA,0.583,0
680000,1,1,NA,0.583,0
682000,1,1,NA,0.583,0
684000,1,1,NA,0.583,0
686000,1,1,NA,0.583,0
688000,1,1,NA,0.583,0
690000,1,1,NA,0.583,0
692000,1,1,NA,0.583,0
694000,1,1,NA,0.583,0
696000,1,1,NA,0.583,0
698000,1,1,NA,0.583,0
700000,1,1,NA,0.583,0
702000,1,1,NA,0.583,0
704000,1,1,NA,0.583,0
706000,1,1,NA,0.583,0
708000,1,1,NA,0.583,0
710000,1,1,NA,0.583,0
712000,1,1,NA,0.583,0
714000,1,1,NA,0.583,0
716000,1,1,NA,0.583,0
718000,1,1,NA,0.583,0
720000,1,1,NA,0.583,0
722000,1,1,NA,0.583,0
724000,1,1,NA,0.583,0
726000,1,1,NA,0.583,0
728000,1,1,NA,0.583,0
730000,1,1,NA,0.583,0
732000,1,1,NA,0.583,0
734000,1,1,NA,0.583,0
736000,1,1,NA,0.583,0
738000,1,1,NA,0.583,0
740000,1,1,NA,0.583,0
742000,1,1,NA,0.583,0
744000,1,1,NA,0.583,0
746000,1,1,NA,0.583,0
748000,1,1,NA,0.583,0
750000,1,1,NA,0.583,0
752000,1,1,NA,0.583,0
754000,1,1,NA,0.583,0
756000,1,1,NA,0.583,0
758000,1,1,NA,0.583,0
760000,1,1,NA,0.583,0
762000,1,1,NA,0.583,0
764000,1,1,NA,0.583,0
766000,1,1,NA,0.583,0
768000,1,1,NA,0.583,0
770000,1,1,NA,0.583,0
772000,1,1,NA,0.583,0
774000,1,1,NA,0.583,0
776000,1,1,NA,0.583,0
778000,1,1,NA,0.583,0
780000,1,1,NA,0.583,0
782000,1,1,NA,0.583,0
784000,1,1,NA,0.583,0
786000,1,1,NA,0.583,0
788000,1,1,NA,0.583,0
790000,1,1,NA,0.583,0
792000,1,1,NA,0.583,0
794000,1,1,NA,0.583,0
796000,1,1,NA,0.583,0
798000,1,1,NA,0.583,0
800000,1,1,NA,0.583,0
802000,1,1,NA,0.583,0
804000,1,1,NA,0.583,0
806000,1,1,NA,0.583,0
808000,1,1,NA,0.583,0
810000,1,1,NA,0.583,0
812000,1,1,NA,0.583,0
814000,1,1,NA,0.583,0
816000,1,1,NA,0.583,0
818000,1,1,NA,0.583,0
820000,1,1,NA,0.583,0
822000,1,1,NA,0.583,0
824000,1,1,NA,0.583,0
826000,1,1,NA,0.583,0
828000,1,1,NA,0.583,0
830000,1,1,NA,0.583,0
832000,1,1,NA,0.583,0
834000,1,1,NA,0.583,0
836000,1,1,NA,0.583,0
838000,1,1,NA,0.583,0
840000,1,1,NA,0.583,0
842000,1,1,NA,0.583,0
844000,1,1,NA,0.583,0
846000,1,1,NA,0.583,0
848000,1,1,NA,0.583,0
850000,1,1,NA,0.583,0
852000,1,1,NA,0.583,0
854000,1,1,NA,0.583,0
856000,1,1,NA,0.583,0
858000,1,1,NA,0.583,0
860000,1,1,NA,0.583,0
862000,1,1,NA,0.583,0
864000,1,1,NA,0.583,0
866000,1,1,NA,0.583,0
868000,1,1,NA,0.583,0
870000,1,1,NA,0.583,0
872000,1,1,NA,0.583,0
874000,1,1,NA,0.583,0
876000,1,1,NA,0.583,0
878000,1,1,NA,0.583,0
880000,1,1,NA,0.583,0
882000,1,1,NA,0.583,0
884000,1,1,NA,0.583,0
886000,1,1,NA,0.583,0
888000,1,1,NA,0.583,0
890000,1,1,NA,0.583,0
892000,1,1,NA,0.583,0
894000,1,1,NA,0.583,0
896000,1,1,NA,0.583,0
898000,1,1,NA,0.583,0
900000,1,1,NA,0.583,0
902000,1,1,NA,0.583,0
904000,1,1,NA,0.583,0
906000,1,1,NA,0.583,0
908000,1,1,NA,0.583,0
910000,1,1,NA,0.583,0
912000,1,1,NA,0.583,0
914000,1,1,NA,0.583,0
916000,1,1,NA,0.583,0
918000,1,1,NA,0.583,0
920000,1,1,NA,0.583,0
922000,1,1,NA,0.583,0
924000,1,1,NA,0.583,0
926000,1,1,NA,0.583,0
928000,1,1,NA,0.583,0
930000,1,1,NA,0.583,0
932000,1,1,NA,0.583,0
934000,1,1,NA,0.583,0
936000,1,1,NA,0.583,0
938000,1,1,NA,0.583,0
940000,1,1,NA,0.583,0
942000,1,1,NA,0.583,0
944000,1,1,NA,0.583,0
946000,1,1,NA,0.583,0
948000,1,1,NA,0.583,0
950000,1,1,NA,0.583,0
952000,1,1,NA,0.583,0
954000,1,1,NA,0.583,0
956000,1,1,NA,0.583,0
958000,1,1,NA,0.583,0
960000,1,1,NA,0.583,0
962000,1,1,NA,0.583,0
964000,1,1,NA,0.583,0
966000,1,1,NA,0.583,0
968000,1,1,NA,0.583,0
970000,1,1,NA,0.583,0
972000,1,1,NA,0.583,0
974000,1,1,NA,0.583,0
976000,1,1,NA,0.583,0
978000,1,1,NA,0.583,0
980000,1,1,NA,0.583,0
982000,1,1,NA,0.583,0
984000,1,1,NA,0.583,0
986000,1,1,NA,0.583,0
988000,1,1,NA,0.583,0
