Threshold,TPR,FPR,Slope,Threshold_Label,AUC,difference
156000,0.979803328,0.852950076,0.085714286,NA,0.809,0.12685325200000008
158000,0.979803328,0.855673222,0,NA,0.809,0.12413010600000007
160000,0.979803328,0.85816944,0,NA,0.809,0.12163388800000008
162000,0.979878971,0.8602118,0.037037037,NA,0.809,0.11966717100000002
164000,0.979878971,0.862405446,0,NA,0.809,0.11747352499999997
166000,0.979878971,0.864599092,0,NA,0.809,0.11527987900000003
168000,0.979878971,0.866944024,0,NA,0.809,0.11293494699999995
170000,0.979878971,0.868986384,0,NA,0.809,0.11089258700000004
172000,0.980257186,0.870953101,0.192307692,NA,0.809,0.109304085
174000,0.980257186,0.873827534,0,NA,0.809,0.10642965199999999
176000,0.980408472,0.875491679,0.090909091,NA,0.809,0.10491679300000001
178000,0.980408472,0.877760968,0,NA,0.809,0.102647504
180000,0.980408472,0.879652042,0,NA,0.809,0.10075643000000001
182000,0.980408472,0.881543116,0,NA,0.809,0.09886535600000002
184000,0.980408472,0.883585477,0,NA,0.809,0.09682299500000002
186000,0.980408472,0.885400908,0,NA,0.809,0.09500756399999999
188000,0.981240545,0.88698941,0.523809524,NA,0.809,0.09425113500000004
190000,0.981694402,0.889258699,0.2,NA,0.809,0.09243570300000004
192000,0.981694402,0.890771558,0,NA,0.809,0.09092284400000006
194000,0.981770045,0.892360061,0.047619048,NA,0.809,0.089409984
196000,0.981770045,0.894251135,0,NA,0.809,0.08751891
198000,0.981770045,0.896217852,0,NA,0.809,0.08555219299999994
200000,0.982072617,0.898411498,0.137931034,NA,0.809,0.08366111900000006
202000,0.98214826,0.900075643,0.045454545,NA,0.809,0.08207261700000001
204000,0.98214826,0.901588502,0,NA,0.809,0.08055975800000004
206000,0.98214826,0.90332829,0,NA,0.809,0.07881996999999996
208000,0.98214826,0.904992436,0,NA,0.809,0.07715582399999998
210000,0.98214826,0.906429652,0,NA,0.809,0.07571860799999997
212000,0.98214826,0.908472012,0,NA,0.809,0.07367624799999994
214000,0.98214826,0.909984871,0,NA,0.809,0.07216338899999997
216000,0.98214826,0.911875946,0,NA,0.809,0.070272314
218000,0.98214826,0.913161876,0,NA,0.809,0.06898638400000001
220000,0.98214826,0.915128593,0,NA,0.809,0.06701966699999995
222000,0.982223903,0.916868381,0.043478261,NA,0.809,0.06535552199999994
224000,0.982677761,0.918154312,0.352941176,NA,0.809,0.06452344900000007
226000,0.984114977,0.919818457,0.863636364,NA,0.809,0.06429651999999997
228000,0.986762481,0.921028744,2.1875,NA,0.809,0.06573373699999996
230000,0.993040847,0.922314675,4.882352941,NA,0.809,0.07072617199999998
232000,0.993948563,0.923600605,0.705882353,NA,0.809,0.07034795800000004
234000,0.994553707,0.924508321,0.666666667,NA,0.809,0.07004538599999999
236000,0.994780635,0.92602118,0.15,NA,0.809,0.06875945500000002
238000,0.995234493,0.92730711,0.352941176,NA,0.809,0.06792738300000001
240000,0.996898638,0.929122542,0.916666667,NA,0.809,0.06777609600000001
242000,0.996974281,0.930484115,0.055555556,NA,0.809,0.06649016600000002
244000,0.996974281,0.93214826,0,NA,0.809,0.06482602100000001
246000,0.997049924,0.933509834,0.055555556,NA,0.809,0.06354009000000005
248000,0.997125567,0.934720121,0.0625,NA,0.809,0.062405445999999976
250000,0.99720121,0.935854766,0.066666667,NA,0.809,0.061346444
252000,0.99720121,0.936762481,0,NA,0.809,0.06043872899999991
254000,0.997276853,0.938426626,0.045454545,NA,0.809,0.05885022699999998
256000,0.997276853,0.939939486,0,NA,0.809,0.05733736700000003
258000,0.997276853,0.941301059,0,NA,0.809,0.05597579399999997
260000,0.997655068,0.942662632,0.277777778,NA,0.809,0.05499243600000003
262000,0.997881997,0.944175492,0.15,NA,0.809,0.05370650500000007
264000,0.99795764,0.945234493,0.071428571,NA,0.809,0.052723147000000026
266000,0.99795764,0.946369138,0,NA,0.809,0.05158850199999998
268000,0.99795764,0.947428139,0,NA,0.809,0.05052950099999998
270000,0.99795764,0.948108926,0,NA,0.809,0.049848714000000016
272000,0.99795764,0.949621785,0,NA,0.809,0.04833585499999993
274000,0.99795764,0.95083207300000006,0,NA,0.809,0.047125566999999924
276000,0.99795764,0.952193646,0,NA,0.809,0.045763993999999975
278000,0.99795764,0.953101362,0,NA,0.809,0.04485627800000003
