Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.692,0
0,0.0413010590015129,0.0202723146747352,0,0.692,0.0210287443267777
2000,0.843948562783661,0.490695915279879,NA,0.692,0.35325264750378205
4000,0.969440242057489,0.739031770045386,NA,0.692,0.23040847201210302
6000,0.989409984871407,0.858245083207262,NA,0.692,0.13116490166414496
8000,0.998638426626324,0.919364599092284,NA,0.692,0.07927382753404
10000,0.999697428139183,0.951739788199697,10,0.692,0.047957639939486096
12000,0.999773071104387,0.971860816944024,NA,0.692,0.027912254160362915
14000,1,0.98411497730711,NA,0.692,0.01588502269289005
16000,1,0.989334341906203,NA,0.692,0.010665658093797048
18000,1,0.992813918305598,NA,0.692,0.007186081694402047
20000,1,0.995158850226929,20,0.692,0.004841149773071041
22000,1,0.996822995461422,NA,0.692,0.0031770045385780543
24000,1,0.997881996974281,NA,0.692,0.002118003025718962
26000,1,0.99856278366112,NA,0.692,0.001437216338880054
28000,1,0.999167927382753,NA,0.692,8.320726172470483e-4
30000,1,0.999546142208775,30,0.692,4.538577912249764e-4
32000,1,0.999621785173979,NA,0.692,3.782148260209617e-4
34000,1,1,NA,0.692,0
36000,1,1,NA,0.692,0
38000,1,1,NA,0.692,0
40000,1,1,NA,0.692,0
42000,1,1,NA,0.692,0
44000,1,1,NA,0.692,0
46000,1,1,NA,0.692,0
48000,1,1,NA,0.692,0
50000,1,1,NA,0.692,0
52000,1,1,NA,0.692,0
54000,1,1,NA,0.692,0
56000,1,1,NA,0.692,0
58000,1,1,NA,0.692,0
60000,1,1,NA,0.692,0
62000,1,1,NA,0.692,0
64000,1,1,NA,0.692,0
66000,1,1,NA,0.692,0
68000,1,1,NA,0.692,0
70000,1,1,NA,0.692,0
72000,1,1,NA,0.692,0
74000,1,1,NA,0.692,0
76000,1,1,NA,0.692,0
78000,1,1,NA,0.692,0
80000,1,1,NA,0.692,0
82000,1,1,NA,0.692,0
84000,1,1,NA,0.692,0
86000,1,1,NA,0.692,0
88000,1,1,NA,0.692,0
90000,1,1,NA,0.692,0
92000,1,1,NA,0.692,0
94000,1,1,NA,0.692,0
96000,1,1,NA,0.692,0
98000,1,1,NA,0.692,0
100000,1,1,NA,0.692,0
102000,1,1,NA,0.692,0
104000,1,1,NA,0.692,0
106000,1,1,NA,0.692,0
108000,1,1,NA,0.692,0
110000,1,1,NA,0.692,0
112000,1,1,NA,0.692,0
114000,1,1,NA,0.692,0
116000,1,1,NA,0.692,0
118000,1,1,NA,0.692,0
120000,1,1,NA,0.692,0
122000,1,1,NA,0.692,0
124000,1,1,NA,0.692,0
126000,1,1,NA,0.692,0
128000,1,1,NA,0.692,0
130000,1,1,NA,0.692,0
132000,1,1,NA,0.692,0
134000,1,1,NA,0.692,0
136000,1,1,NA,0.692,0
138000,1,1,NA,0.692,0
140000,1,1,NA,0.692,0
142000,1,1,NA,0.692,0
144000,1,1,NA,0.692,0
146000,1,1,NA,0.692,0
148000,1,1,NA,0.692,0
150000,1,1,NA,0.692,0
152000,1,1,NA,0.692,0
154000,1,1,NA,0.692,0
156000,1,1,NA,0.692,0
158000,1,1,NA,0.692,0
160000,1,1,NA,0.692,0
162000,1,1,NA,0.692,0
164000,1,1,NA,0.692,0
166000,1,1,NA,0.692,0
168000,1,1,NA,0.692,0
170000,1,1,NA,0.692,0
172000,1,1,NA,0.692,0
174000,1,1,NA,0.692,0
176000,1,1,NA,0.692,0
178000,1,1,NA,0.692,0
180000,1,1,NA,0.692,0
182000,1,1,NA,0.692,0
184000,1,1,NA,0.692,0
186000,1,1,NA,0.692,0
188000,1,1,NA,0.692,0
190000,1,1,NA,0.692,0
192000,1,1,NA,0.692,0
194000,1,1,NA,0.692,0
196000,1,1,NA,0.692,0
198000,1,1,NA,0.692,0
200000,1,1,NA,0.692,0
202000,1,1,NA,0.692,0
204000,1,1,NA,0.692,0
206000,1,1,NA,0.692,0
208000,1,1,NA,0.692,0
210000,1,1,NA,0.692,0
212000,1,1,NA,0.692,0
214000,1,1,NA,0.692,0
216000,1,1,NA,0.692,0
