Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.651,0
0,0.028517397881997,0.0136157337367625,0,0.651,0.0149016641452345
2000,0.62874432677761,0.37624810892587,NA,0.651,0.25249621785174003
4000,0.890468986384266,0.707110438729198,NA,0.651,0.18335854765506798
6000,0.976399394856278,0.870953101361573,NA,0.651,0.10544629349470502
8000,0.993267776096823,0.93714069591528,NA,0.651,0.056127080181543
10000,0.996142208774584,0.968003025718608,10,0.651,0.02813918305597607
12000,0.998714069591528,0.981845688350983,NA,0.651,0.016868381240545016
14000,1,0.989788199697428,NA,0.651,0.01021180030257196
16000,1,0.994629349470499,NA,0.651,0.005370650529501031
18000,1,0.997881996974281,NA,0.651,0.002118003025718962
20000,1,0.999848714069592,20,0.651,1.512859304080294e-4
22000,1,1,NA,0.651,0
24000,1,1,NA,0.651,0
26000,1,1,NA,0.651,0
28000,1,1,NA,0.651,0
30000,1,1,30,0.651,0
32000,1,1,NA,0.651,0
34000,1,1,NA,0.651,0
36000,1,1,NA,0.651,0
38000,1,1,NA,0.651,0
40000,1,1,NA,0.651,0
42000,1,1,NA,0.651,0
44000,1,1,NA,0.651,0
46000,1,1,NA,0.651,0
48000,1,1,NA,0.651,0
50000,1,1,NA,0.651,0
52000,1,1,NA,0.651,0
54000,1,1,NA,0.651,0
56000,1,1,NA,0.651,0
58000,1,1,NA,0.651,0
60000,1,1,NA,0.651,0
62000,1,1,NA,0.651,0
64000,1,1,NA,0.651,0
66000,1,1,NA,0.651,0
68000,1,1,NA,0.651,0
70000,1,1,NA,0.651,0
72000,1,1,NA,0.651,0
74000,1,1,NA,0.651,0
76000,1,1,NA,0.651,0
78000,1,1,NA,0.651,0
80000,1,1,NA,0.651,0
82000,1,1,NA,0.651,0
84000,1,1,NA,0.651,0
86000,1,1,NA,0.651,0
88000,1,1,NA,0.651,0
90000,1,1,NA,0.651,0
92000,1,1,NA,0.651,0
94000,1,1,NA,0.651,0
96000,1,1,NA,0.651,0
