Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.391,0
0,0.004311649,0.004614221,0,0.391,-3.03E-04
2000,0.025945537,0.028668684,NA,0.391,-0.002723147
4000,0.046217852,0.053555219,NA,0.391,-0.007337368
6000,0.060514372,0.081845688,NA,0.391,-0.021331316
8000,0.082223903,0.109984871,NA,0.391,-0.027760968
10000,0.11096823,0.136686838,10,0.391,-0.025718608
12000,0.136157337,0.166111952,NA,0.391,-0.029954614
14000,0.163464448,0.197276853,NA,0.391,-0.033812405
16000,0.188577912,0.228744327,NA,0.391,-0.040166415
18000,0.205370651,0.26096823,NA,0.391,-0.055597579
20000,0.230559758,0.294478064,20,0.391,-0.063918306
22000,0.253101362,0.325642965,NA,0.391,-0.072541604
24000,0.274432678,0.36096823,NA,0.391,-0.086535552
26000,0.294251135,0.394326778,NA,0.391,-0.100075643
28000,0.31505295,0.429576399,NA,0.391,-0.114523449
30000,0.333282905,0.459077156,30,0.391,-0.125794251
32000,0.353555219,0.490998487,NA,0.391,-0.137443268
34000,0.362405446,0.522768533,NA,0.391,-0.160363086
36000,0.375642965,0.554689864,NA,0.391,-0.179046899
38000,0.392284418,0.584039334,NA,0.391,-0.191754917
40000,0.421558245,0.612708018,NA,0.391,-0.191149773
42000,0.44795764,0.639107413,NA,0.391,-0.191149773
44000,0.472314675,0.663918306,NA,0.391,-0.191603631
46000,0.498638427,0.68903177,NA,0.391,-0.190393343
48000,0.518759455,0.713540091,NA,0.391,-0.194780635
50000,0.532223903,0.734417549,NA,0.391,-0.202193646
52000,0.557186082,0.754462935,NA,0.391,-0.197276853
54000,0.574432678,0.773676248,NA,0.391,-0.19924357
56000,0.597049924,0.790620272,NA,0.391,-0.193570348
58000,0.620726172,0.808623298,NA,0.391,-0.187897126
60000,0.638502269,0.82473525,NA,0.391,-0.18623298
62000,0.661875946,0.839334342,NA,0.391,-0.177458396
64000,0.679425113,0.852344932,NA,0.391,-0.172919818
66000,0.704614221,0.866036309,NA,0.391,-0.161422088
68000,0.718683812,0.877609682,NA,0.391,-0.15892587
70000,0.741679274,0.888729198,NA,0.391,-0.147049924
72000,0.758850227,0.900075643,NA,0.391,-0.141225416
74000,0.775189107,0.909531014,NA,0.391,-0.134341906
76000,0.787821483,0.918456884,NA,0.391,-0.130635401
78000,0.808396369,0.925869894,NA,0.391,-0.117473525
80000,0.849697428,0.931770045,NA,0.391,-0.082072617
82000,0.867927383,0.938804841,NA,0.391,-0.070877458
84000,0.877534039,0.946822995,NA,0.391,-0.069288956
86000,0.885022693,0.951739788,NA,0.391,-0.066717095
88000,0.890998487,0.955824508,NA,0.391,-0.064826021
90000,0.898260212,0.960892587,NA,0.391,-0.062632375
92000,0.915128593,0.965279879,NA,0.391,-0.050151286
94000,0.935854766,0.970272315,NA,0.391,-0.034417549
96000,0.954160363,0.974583964,NA,0.391,-0.020423601
98000,0.980257186,0.97881997,NA,0.391,0.001437216
100000,0.988124054,0.982526475,NA,0.391,0.005597579
102000,0.992284418,0.986006051,NA,0.391,0.006278366
104000,0.995007564,0.989409985,NA,0.391,0.005597579
106000,0.995688351,0.991301059,NA,0.391,0.004387292
108000,0.997881997,0.993040847,NA,0.391,0.00484115
110000,0.999546142,0.994024206,NA,0.391,0.005521936
112000,0.999924357,0.994704992,NA,0.391,0.005219365
114000,1,0.995763994,NA,0.391,0.004236006
116000,1,0.996217852,NA,0.391,0.003782148
118000,1,0.996822995,NA,0.391,0.003177005
120000,1,0.997428139,NA,0.391,0.002571861
122000,1,0.998033283,NA,0.391,0.001966717
124000,1,0.99871407,NA,0.391,0.00128593
126000,1,0.998940998,NA,0.391,0.001059002
128000,1,0.999394856,NA,0.391,6.05E-04
130000,1,0.999697428,NA,0.391,3.03E-04
132000,1,0.999924357,NA,0.391,7.56E-05
134000,1,1,NA,0.391,0
136000,1,1,NA,0.391,0
138000,1,1,NA,0.391,0
140000,1,1,NA,0.391,0
142000,1,1,NA,0.391,0
144000,1,1,NA,0.391,0
146000,1,1,NA,0.391,0
148000,1,1,NA,0.391,0
150000,1,1,NA,0.391,0
152000,1,1,NA,0.391,0
154000,1,1,NA,0.391,0
156000,1,1,NA,0.391,0
158000,1,1,NA,0.391,0
160000,1,1,NA,0.391,0
162000,1,1,NA,0.391,0
164000,1,1,NA,0.391,0
166000,1,1,NA,0.391,0
168000,1,1,NA,0.391,0
170000,1,1,NA,0.391,0
172000,1,1,NA,0.391,0
174000,1,1,NA,0.391,0
176000,1,1,NA,0.391,0
178000,1,1,NA,0.391,0
180000,1,1,NA,0.391,0
182000,1,1,NA,0.391,0
184000,1,1,NA,0.391,0
186000,1,1,NA,0.391,0
188000,1,1,NA,0.391,0
190000,1,1,NA,0.391,0
192000,1,1,NA,0.391,0
194000,1,1,NA,0.391,0
196000,1,1,NA,0.391,0
198000,1,1,NA,0.391,0
200000,1,1,NA,0.391,0
202000,1,1,NA,0.391,0
204000,1,1,NA,0.391,0
206000,1,1,NA,0.391,0
208000,1,1,NA,0.391,0
210000,1,1,NA,0.391,0
212000,1,1,NA,0.391,0
214000,1,1,NA,0.391,0
216000,1,1,NA,0.391,0
