Threshold,TPR,FPR,Threshold_Label,AUC,difference
0,0,0,NA,0.574,0
0,0.00590015128593041,0.00468986384266263,0,0.574,0.0012102874432677801
2000,0.16036308623298,0.112102874432678,NA,0.574,0.048260211800302016
4000,0.340695915279879,0.236838124054463,NA,0.574,0.10385779122541602
6000,0.50491679273827506,0.368608169440242,NA,0.574,0.13630862329803306
8000,0.616187594553707,0.494553706505295,NA,0.574,0.12163388804841196
10000,0.687594553706505,0.601739788199697,10,0.574,0.08585476550680804
12000,0.745688350983359,0.686157337367625,NA,0.574,0.059531013615733985
14000,0.80695915279879,0.753782148260212,NA,0.574,0.0531770045385781
16000,0.852269288956127,0.813313161875945,NA,0.574,0.038956127080181924
18000,0.888350983358548,0.854841149773071,NA,0.574,0.03350983358547699
20000,0.922239031770045,0.890998487140696,20,0.574,0.031240544629349
22000,0.955143721633888,0.918532526475038,NA,0.574,0.03661119515885003
24000,0.974432677760968,0.941527987897126,NA,0.574,0.032904689863841985
26000,0.983812405446293,0.957866868381241,NA,0.574,0.025945537065051982
28000,0.989712556732224,0.969440242057489,NA,0.574,0.020272314674735004
30000,0.994251134644478,0.978517397881997,30,0.574,0.01573373676248102
32000,0.996369137670197,0.985476550680787,NA,0.574,0.01089258698940998
34000,0.998184568835098,0.990166414523449,NA,0.574,0.008018154311648984
36000,0.998638426626324,0.994478063540091,NA,0.574,0.00416036308623291
38000,0.999546142208775,0.996596066565809,NA,0.574,0.00295007564296601
40000,1,0.99803328290469,NA,0.574,0.0019667170953100443
42000,1,0.999394856278366,NA,0.574,6.05143721634005e-4
44000,1,0.999773071104387,NA,0.574,2.269288956130433e-4
46000,1,0.999924357034796,NA,0.574,7.56429652040147e-5
48000,1,1,NA,0.574,0
50000,1,1,NA,0.574,0
52000,1,1,NA,0.574,0
54000,1,1,NA,0.574,0
56000,1,1,NA,0.574,0
58000,1,1,NA,0.574,0
60000,1,1,NA,0.574,0
62000,1,1,NA,0.574,0
64000,1,1,NA,0.574,0
66000,1,1,NA,0.574,0
68000,1,1,NA,0.574,0
70000,1,1,NA,0.574,0
72000,1,1,NA,0.574,0
74000,1,1,NA,0.574,0
76000,1,1,NA,0.574,0
78000,1,1,NA,0.574,0
80000,1,1,NA,0.574,0
82000,1,1,NA,0.574,0
84000,1,1,NA,0.574,0
86000,1,1,NA,0.574,0
88000,1,1,NA,0.574,0
90000,1,1,NA,0.574,0
92000,1,1,NA,0.574,0
94000,1,1,NA,0.574,0
96000,1,1,NA,0.574,0
98000,1,1,NA,0.574,0
100000,1,1,NA,0.574,0
102000,1,1,NA,0.574,0
104000,1,1,NA,0.574,0
106000,1,1,NA,0.574,0
108000,1,1,NA,0.574,0
110000,1,1,NA,0.574,0
112000,1,1,NA,0.574,0
114000,1,1,NA,0.574,0
116000,1,1,NA,0.574,0
118000,1,1,NA,0.574,0
120000,1,1,NA,0.574,0
122000,1,1,NA,0.574,0
124000,1,1,NA,0.574,0
126000,1,1,NA,0.574,0
128000,1,1,NA,0.574,0
130000,1,1,NA,0.574,0
132000,1,1,NA,0.574,0
134000,1,1,NA,0.574,0
136000,1,1,NA,0.574,0
138000,1,1,NA,0.574,0
140000,1,1,NA,0.574,0
142000,1,1,NA,0.574,0
144000,1,1,NA,0.574,0
146000,1,1,NA,0.574,0
148000,1,1,NA,0.574,0
150000,1,1,NA,0.574,0
152000,1,1,NA,0.574,0
154000,1,1,NA,0.574,0
